timestamp,open,high,low,close,volume
1672610640000,1.0697,1.06974,1.0697,1.0697,4500000
1672610700000,1.06973,1.06978,1.0697,1.06971,6300000.190734863
1672610760000,1.06966,1.06966,1.06966,1.06966,899999.9761581421
1672610880000,1.0697,1.06974,1.0697,1.06974,1799999.9523162842
1672611000000,1.06975,1.0698,1.06972,1.06972,5400000.095367432
1672611060000,1.06972,1.06972,1.06972,1.06972,899999.9761581421
1672611120000,1.06975,1.0698,1.06975,1.0698,1799999.9523162842
1672611180000,1.07066,1.07066,1.06917,1.06943,11699999.809265137
1672611240000,1.06937,1.06937,1.06899,1.06899,2240000.009536743
1672611300000,1.06788,1.06788,1.06788,1.06788,5400000.095367432
1672611360000,1.06788,1.06788,1.06788,1.06788,899999.9761581421
1672612920000,1.06904,1.06958,1.06904,1.06928,57959999.084472656
1672612980000,1.06951,1.06956,1.06934,1.06956,41400001.525878906
1672613100000,1.06962,1.07033,1.06879,1.06879,287459991.4550781
1672613160000,1.06957,1.07034,1.0686,1.06938,332540008.5449219
1672613220000,1.06954,1.07061,1.0688,1.06885,900900024.4140625
1672613280000,1.07006,1.07018,1.0686,1.06945,402980010.9863281
1672613340000,1.06944,1.06971,1.06894,1.06947,86940002.44140625
1672613400000,1.06944,1.07007,1.06879,1.07001,139679992.67578125
1672613460000,1.06934,1.06954,1.0686,1.0686,40819999.69482422
1672613520000,1.06956,1.06956,1.06936,1.06936,8279999.732971191
1672613580000,1.06881,1.06881,1.06881,1.06881,4139999.8664855957
1672613700000,1.06879,1.06879,1.06875,1.06875,8279999.732971191
1672613760000,1.06954,1.06954,1.06874,1.06874,62099998.474121094
1672613820000,1.06936,1.06952,1.06936,1.06946,24840000.15258789
1672613880000,1.06855,1.06897,1.06823,1.06897,28979999.542236328
1672613940000,1.06929,1.06929,1.06929,1.06929,8279999.732971191
1672614000000,1.06896,1.06931,1.06896,1.06931,24840000.15258789
1672614060000,1.06931,1.06931,1.06929,1.06929,8279999.732971191
1672614120000,1.06896,1.06929,1.06895,1.06929,33119998.931884766
1672614180000,1.06896,1.06929,1.06896,1.0691,45540000.915527344
1672614240000,1.06863,1.06941,1.06863,1.06941,45540000.915527344
1672614300000,1.06942,1.06953,1.069,1.06943,70379997.25341797
1672614360000,1.06909,1.06943,1.06856,1.06856,24840000.15258789
1672614420000,1.0685,1.0685,1.0684,1.0684,16559999.465942383
1672614480000,1.0684,1.0684,1.06836,1.0684,12420000.076293945
1672614600000,1.06916,1.06917,1.06829,1.06829,17000000
1672614660000,1.06917,1.06922,1.06917,1.06917,28979999.542236328
1672614720000,1.0683,1.0704,1.0683,1.0695,19079999.923706055
1672614780000,1.0695,1.0695,1.06949,1.06949,27500000
1672614840000,1.06949,1.06949,1.06895,1.06895,5239999.771118164
1672614900000,1.06933,1.06933,1.06933,1.06933,4139999.8664855957
1672615080000,1.06895,1.0695,1.06849,1.06893,23219999.313354492
1672615140000,1.0695,1.06951,1.0695,1.0695,32400001.525878906
1672615200000,1.06947,1.07024,1.06941,1.06942,99360000.61035156
1672615260000,1.07047,1.07047,1.06934,1.0695,113040000.91552734
1672615320000,1.0695,1.07041,1.06937,1.0695,100440002.44140625
1672615380000,1.06944,1.0695,1.06937,1.0695,101160003.66210938
1672615440000,1.0695,1.06951,1.06939,1.0695,55080001.83105469
1672615500000,1.0695,1.0695,1.06936,1.0695,81000000
1672615560000,1.0695,1.06951,1.06939,1.0695,65879997.25341797
1672615620000,1.0695,1.07044,1.0694,1.06943,96300003.05175781
1672615680000,1.0695,1.0695,1.06939,1.0695,39240001.6784668
1672615740000,1.06939,1.06951,1.06939,1.0695,98459999.08447266
1672615800000,1.0695,1.06952,1.06923,1.06952,196380004.8828125
1672615860000,1.06951,1.06953,1.06942,1.06952,106919998.16894531
1672615920000,1.06943,1.06953,1.06925,1.06938,298079986.5722656
1672615980000,1.06952,1.06953,1.06925,1.06927,492660003.6621094
